Id,SalePrice
1461,123699.125
1462,165747.34
1463,187746.53
1464,194544.77
1465,183579.84
1466,176282.72
1467,176484.95
1468,169215.69
1469,177861.62
1470,128321.27
1471,201409.16
1472,95152.76
1473,98921.445
1474,151415.25
1475,123230.62
1476,384194.94
1477,259100.19
1478,289286.6
1479,250880.16
1480,467947.94
1481,297499.03
1482,204126.3
1483,179872.8
1484,168884.98
1485,169462.14
1486,195846.81
1487,328406.12
1488,239129.8
1489,210552.44
1490,214279.67
1491,183793.81
1492,93456.57
1493,184884.61
1494,293463.34
1495,282705.25
1496,236137.06
1497,186663.62
1498,162314.22
1499,157004.11
1500,163145.31
1501,178701.12
1502,150783.16
1503,303768.66
1504,244159.89
1505,222981.66
1506,187611.56
1507,235206.61
1508,195914.9
1509,160944.6
1510,150941.11
1511,152473.06
1512,178780.38
1513,133034.55
1514,170610.78
1515,202088.11
1516,153572.55
1517,154217.3
1518,123736.63
1519,226892.31
1520,138084.77
1521,142506.8
1522,165965.05
1523,114298.56
1524,133062.58
1525,121111.87
1526,114552.43
1527,105415.6
1528,133411.36
1529,153514.23
1530,176814.52
1531,103679.055
1532,98051.836
1533,159095.62
1534,116374.15
1535,150244.19
1536,113103.74
1537,62580.125
1538,174951.44
1539,207142.83
1540,105128.33
1541,140981.02
1542,133368.3
1543,221980.98
1544,78007.64
1545,105058.14
1546,136216.3
1547,137093.45
1548,133479.31
1549,116472.47
1550,144247.05
1551,110195.766
1552,128443.78
1553,161790.47
1554,114080.11
1555,176908.31
1556,88359.05
1557,119489.04
1558,99082.72
1559,79551.53
1560,132045.86
1561,139195.03
1562,127795.73
1563,123184.33
1564,161866.94
1565,149787.47
1566,231571.81
1567,73715.97
1568,227324.61
1569,149489.5
1570,137555.47
1571,119713.75
1572,150939.48
1573,258512.2
1574,119444.7
1575,217338.83
1576,240363.56
1577,202301.02
1578,146621.8
1579,146628.66
1580,192120.06
1581,155796.1
1582,128447.17
1583,312493.25
1584,232945.11
1585,140729.95
1586,74560.67
1587,98478.42
1588,158762.5
1589,97998.7
1590,131507.48
1591,97904.81
1592,116239.06
1593,123478.19
1594,140407.2
1595,118594.414
1596,232931.58
1597,182085.02
1598,192178.17
1599,169603.81
1600,166361.03
1601,67807.02
1602,114218.27
1603,77524.72
1604,279587.97
1605,241586.19
1606,168643.78
1607,162350.95
1608,199509.45
1609,193327.03
1610,166615.02
1611,138319.38
1612,161848.75
1613,158036.98
1614,122838.27
1615,88303.09
1616,67115.55
1617,87489.984
1618,125412.76
1619,147439.97
1620,164546.66
1621,145171.73
1622,146764.22
1623,300024.84
1624,206847.66
1625,121422.36
1626,159539.03
1627,195366.31
1628,276333.3
1629,179452.98
1630,399256.97
1631,226407.11
1632,247092.52
1633,167506.17
1634,186554.86
1635,177833.39
1636,150040.28
1637,183995.4
1638,180029.05
1639,180298.38
1640,256626.8
1641,175602.97
1642,227209.3
1643,226307.66
1644,231292.8
1645,188317.22
1646,155118.27
1647,158138.03
1648,135688.97
1649,145325.3
1650,119243.72
1651,125088.25
1652,95617.67
1653,97212.87
1654,156420.64
1655,147468.36
1656,143170.89
1657,155204.31
1658,149278.03
1659,128472.164
1660,150507.53
1661,475153.03
1662,389535.94
1663,391739.8
1664,391717.47
1665,308661.84
1666,323975.53
1667,399809.9
1668,337674.3
1669,300784.03
1670,337203.0
1671,262758.88
1672,497683.4
1673,310574.28
1674,262192.22
1675,185082.36
1676,198218.1
1677,223082.86
1678,471603.53
1679,410469.75
1680,327042.25
1681,258246.28
1682,297055.22
1683,177354.0
1684,168304.73
1685,172422.92
1686,170105.08
1687,166805.23
1688,185686.56
1689,191909.97
1690,183260.11
1691,177022.42
1692,271261.5
1693,162266.06
1694,183879.55
1695,166544.83
1696,278815.6
1697,170558.05
1698,361530.5
1699,327151.78
1700,246915.62
1701,253930.08
1702,250851.98
1703,256230.48
1704,295928.16
1705,232376.25
1706,441788.1
1707,228680.45
1708,216154.81
1709,283037.03
1710,228360.7
1711,254344.84
1712,241964.11
1713,267879.0
1714,218769.36
1715,212022.9
1716,187538.89
1717,167823.61
1718,133576.98
1719,199478.75
1720,252965.6
1721,166295.75
1722,128404.72
1723,154552.47
1724,209519.36
1725,245324.44
1726,183232.19
1727,166506.03
1728,176919.3
1729,168198.73
1730,166572.56
1731,117486.68
1732,129617.21
1733,116402.234
1734,125697.484
1735,129833.66
1736,114982.19
1737,358512.94
1738,198181.77
1739,307829.47
1740,222021.73
1741,196782.61
1742,174411.86
1743,176227.6
1744,308188.25
1745,214703.25
1746,197896.02
1747,225975.45
1748,221388.7
1749,159922.33
1750,130811.88
1751,229279.36
1752,122852.805
1753,143653.7
1754,192786.33
1755,173421.88
1756,141956.8
1757,121069.836
1758,147352.66
1759,165922.42
1760,163967.72
1761,135049.36
1762,174658.11
1763,174401.8
1764,114758.81
1765,160447.03
1766,166469.42
1767,194180.23
1768,141737.89
1769,178269.67
1770,144246.56
1771,131072.0
1772,127106.516
1773,132201.72
1774,107788.63
1775,138222.52
1776,131408.75
1777,116410.25
1778,138388.9
1779,119074.16
1780,168672.64
1781,131257.84
1782,97649.0
1783,142072.31
1784,101278.58
1785,132260.2
1786,125484.59
1787,170957.75
1788,49907.867
1789,97702.58
1790,77967.49
